column_1,ID,anio,mes,word,n
2,201891,2018,9,chec,1
2,201891,2018,9,calle,1
2,201891,2018,9,56b,1
2,201891,2018,9,#,1
2,201891,2018,9,18,1
2,201891,2018,9,32,1
2,201891,2018,9,vilal,1
2,201891,2018,9,rio,1
2,201891,2018,9,atendido,1
2,201891,2018,9,asesores,1
3,201892,2018,9,muy,1
3,201892,2018,9,chec,1
3,201892,2018,9,deysi,1
3,201892,2018,9,gil,1
3,201892,2018,9,asesora,1
3,201892,2018,9,estaconsulta,1
4,201893,2018,9,ayuda,1
4,201893,2018,9,problema,1
4,201893,2018,9,molesto,1
4,201893,2018,9,texto,1
4,201893,2018,9,gómez,1
4,201893,2018,9,prueba,1
4,201893,2018,9,puedes,1
4,201893,2018,9,encontrar,1
4,201893,2018,9,www.google.com,1
4,201893,2018,9,quisiera,1
4,201893,2018,9,encontrarla,1
4,201893,2018,9,mamá,1
4,201893,2018,9,mima,1
4,201893,2018,9,ama,1
